x,qx,lx,dx,Lx,Tx,ex,,,,,,,,,ex
96.00,0.32,2533.00,799.00,2133.00,6011.00,2.37,,,,,,,,,
97.00,0.34,1734.00,582.00,1443.00,3877.00,2.24,,,,,,,,,
98.00,0.35,1152.00,409.00,947.00,2435.00,2.11,,,,,,,,,
99.00,0.37,743.00,277.00,604.00,1487.00,2.00,,,,,,,,,
100.00,0.39,466.00,182.00,375.00,883.00,1.89,,,,,,,,,
101.00,0.41,284.00,117.00,225.00,508.00,1.79,,,,,,,,,
102.00,0.43,167.00,72.00,131.00,283.00,1.69,,,,,,,,,
103.00,0.45,95.00,43.00,73.00,152.00,1.60,,,,,,,,,
104.00,0.48,52.00,25.00,40.00,78.00,1.51,,,,,,,,,
105.00,0.50,27.00,14.00,20.00,39.00,1.42,,,,,,,,,
106.00,0.52,14.00,7.00,10.00,18.00,1.33,,,,,,,,,
107.00,0.55,6.00,4.00,5.00,8.00,1.25,,,,,,,,,
108.00,0.58,3.00,2.00,2.00,3.00,1.18,,,,,,,,,
109.00,0.61,1.00,1.00,1.00,1.00,1.10,,,,,,,,,
110.00,0.64,0.00,0.00,0.00,0.00,1.03,,,,,,,,,
111.00,0.67,0.00,0.00,0.00,0.00,0.96,,,,,,,,,
112.00,0.70,0.00,0.00,0.00,0.00,0.90,,,,,,,,,
113.00,0.74,0.00,0.00,0.00,0.00,0.83,,,,,,,,,
114.00,0.77,0.00,0.00,0.00,0.00,0.77,,,,,,,,,
115.00,0.81,0.00,0.00,0.00,0.00,0.72,,,,,,,,,
116.00,0.85,0.00,0.00,0.00,0.00,0.66,,,,,,,,,
117.00,0.90,0.00,0.00,0.00,0.00,0.61,,,,,,,,,
118.00,0.94,0.00,0.00,0.00,0.00,0.56,,,,,,,,,
119.00,0.99,0.00,0.00,0.00,0.00,0.51,,,,,,,,,
