Age,qx, lx, dx,L, Tx,ex
86-87,0.094437,38200.00,3607.48,36396.26,232479.52,6.1
87-88,0.105152,34592.52,3637.47,32773.79,196083.27,5.7
88-89,0.116835,30955.05,3616.62,29146.74,163309.47,5.3
89-90,0.129516,27338.43,3540.76,25568.04,134162.73,4.9
90-91,0.143215,23797.66,3408.19,22093.57,108594.70,4.6
91-92,0.157937,20389.47,3220.26,18779.34,86501.13,4.2
92-93,0.173671,17169.21,2981.79,15678.32,67721.78,3.9
93-94,0.190385,14187.42,2701.08,12836.88,52043.46,3.7
94-95,0.208029,11486.34,2389.50,10291.60,39206.59,3.4
95-96,0.226531,9096.85,2060.72,8066.49,28914.99,3.2
96-97,0.245796,7036.13,1729.45,6171.40,20848.50,3.0
97-98,0.265711,5306.68,1410.04,4601.66,14677.10,2.8
98-99,0.286142,3896.64,1114.99,3339.14,10075.44,2.6
99-100,0.306941,2781.65,853.80,2354.75,6736.30,2.4
100 and over,1.000000,1927.84,1927.84,4381.56,4381.56,2.3
"SOURCE: CDC/NCHS, National Vital Statistics System.",,,,,,
