x,qx,lx,dx,Lx,Tx,ex
99.00,0.32,2449.00,786.00,2056.00,5679.00,2.32
100.00,0.34,1663.00,566.00,1380.00,3624.00,2.18
101.00,0.36,1097.00,396.00,899.00,2244.00,2.05
102.00,0.38,701.00,268.00,567.00,1345.00,1.92
103.00,0.41,433.00,176.00,345.00,778.00,1.80
104.00,0.43,258.00,111.00,202.00,433.00,1.68
105.00,0.46,147.00,67.00,113.00,230.00,1.57
106.00,0.48,80.00,39.00,61.00,117.00,1.46
107.00,0.51,41.00,21.00,31.00,56.00,1.36
108.00,0.54,20.00,11.00,15.00,26.00,1.27
109.00,0.57,9.00,5.00,7.00,11.00,1.17
110.00,0.61,4.00,2.00,3.00,4.00,1.09
111.00,0.65,2.00,1.00,1.00,2.00,1.00
112.00,0.68,1.00,0.00,0.00,1.00,0.93
113.00,0.73,0.00,0.00,0.00,0.00,0.85
114.00,0.77,0.00,0.00,0.00,0.00,0.78
115.00,0.81,0.00,0.00,0.00,0.00,0.72
116.00,0.85,0.00,0.00,0.00,0.00,0.66
117.00,0.90,0.00,0.00,0.00,0.00,0.61
118.00,0.94,0.00,0.00,0.00,0.00,0.56
119.00,0.99,0.00,0.00,0.00,0.00,0.51
